id,MAIUSCULAS,EXCLAMA,ASPAS,POL_ABSOLUTO,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,interrog,affect,posemo,negemo,anx,anger,sad
952,0.060606060606060615,0.0,0.0,0.4,0.3746510329424902,0.40740740740740733,0.6111111111111109,0.0,0.0,0.6944444444444444,0.6111111111111112,0.0,0.2444444444444445,0.40740740740740733,0.13150492264416316,0.0,0.0,0.1419753086419753,0.0,0.2888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
588,0.2371541501976285,0.0,0.0,0.4,0.9060519991260648,0.5579710144927537,0.5978260869565217,0.0,0.7826086956521738,0.5434782608695652,0.4782608695652174,0.0,0.4782608695652174,0.3985507246376812,0.4025866813428728,1.0,0.5,0.3333333333333333,0.43478260869565216,0.5652173913043478,0.0,0.125,0.14130434782608695,0.0,0.14906832298136646,0.0,0.0,0.0
44,0.3896103896103897,0.0,0.0,0.8,0.2605886575735821,0.19642857142857145,0.29464285714285715,0.0,0.0,0.4464285714285714,0.3928571428571429,0.20535714285714285,0.07857142857142857,0.13095238095238096,0.18896925858951172,0.20535714285714285,0.1369047619047619,0.09126984126984124,0.3571428571428571,0.09285714285714283,0.0,0.0,0.2321428571428571,0.3214285714285714,0.12244897959183673,0.0,0.2857142857142857,0.0
1187,0.3356643356643357,0.0,0.0,0.4,0.19984538074990332,0.07051282051282053,0.10576923076923077,0.0,0.0,0.0,0.14102564102564105,0.0,0.08461538461538462,0.2820512820512821,0.2784810126582279,0.0,0.0,0.0,0.0,0.1,0.2307692307692308,0.0,0.125,0.3461538461538461,0.0,0.0,0.0,0.0
1110,0.2517482517482518,0.0,0.0,0.6000000000000001,0.5400077309625048,0.3525641025641026,0.4230769230769231,0.0,0.0,0.4807692307692308,0.2820512820512821,0.22115384615384615,0.2538461538461539,0.2820512820512821,0.4177215189873417,0.22115384615384615,0.14743589743589744,0.19658119658119655,0.0,0.2,0.0,0.11057692307692307,0.375,0.3461538461538461,0.2637362637362637,0.0,0.0,0.0
1230,0.2909090909090909,0.0,0.0,0.0,0.7922948073701842,0.4277777777777778,0.275,0.0,0.0,0.8333333333333334,0.12222222222222225,0.0,0.3666666666666667,0.3055555555555556,0.5940928270042193,0.3833333333333333,0.5111111111111111,0.5111111111111111,0.0,0.3466666666666666,0.6000000000000001,0.19166666666666665,0.325,0.0,0.3428571428571429,0.0,0.0,0.0
758,0.3519061583577713,0.0,0.0,0.4,0.08737234559896254,0.11827956989247312,0.1774193548387097,0.0,0.0,0.0,0.11827956989247312,0.18548387096774194,0.07096774193548387,0.05913978494623656,0.10555328705594118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2096774193548387,0.5806451612903225,0.0,0.0,0.0,0.0
849,0.21818181818181825,0.0,0.0,0.4,0.2542713567839196,0.1466666666666667,0.22,0.0,0.0,0.5,0.2933333333333334,0.23,0.08800000000000001,0.1466666666666667,0.29240506329113924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13714285714285715,0.0,0.0,0.0
2149,0.1422924901185771,0.0,0.0,0.8,0.4253878086082586,0.2391304347826087,0.35869565217391297,0.0,0.0,0.0,0.4782608695652174,0.0,0.19130434782608696,0.4782608695652174,0.4812878370941112,0.25,0.0,0.0,0.0,0.2260869565217391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1234,0.09917355371900828,0.0,0.0,0.4,1.0,1.0,1.0,0.0,0.8181818181818182,0.0,1.0,0.26136363636363635,1.0,1.0,1.0,0.0,0.5227272727272727,0.34848484848484845,0.0,0.23636363636363636,0.2727272727272727,0.3920454545454545,0.7386363636363636,0.0,0.7792207792207791,0.0,0.0,0.0
